Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Malik Zaire,Florida,2015,2018,3,3,2,43.4,21.7,NA
Grant Gunnell,Sam Houston State,2020,2024,2,2,4,43.2,10.8,NA
Kendal Thompson,Utah,2014,2016,4,4,7,42.2,6,NA
Kevin Olsen,Charlotte,2016,2017,3,1,6,41.8,7,NA
Drew Allar,Penn State,2022,2025,1,1,10,41,4.1,NA
Garrett Nussmeier,LSU,2022,2024,2,2,7,40.7,5.8,NA
Tommy DeVito,Illinois,2020,2023,4,3,4,40,10,NA
Tate Martell,UNLV,2018,2022,2,2,6,39.6,6.6,NA
Quincy Patterson II,Temple,2023,2024,6,6,7,38.6,5.5,NA
Zack Greenlee,UTEP,2016,2018,4,4,6,38.5,6.4,NA
Ryan Hilinski,Northwestern,2021,2024,3,3,9,38.4,4.3,NA
Luke Doty,South Carolina,2023,2024,4,4,8,38,4.7,NA
Brian Maurer,Stephen F. Austin,2019,2024,1,1,8,36,4.5,NA
Zach Kline,Fresno State,2016,2017,5,3,7,35.7,5.1,NA
Tommy DeVito,Illinois,2018,2023,2,1,7,35.5,5.1,NA
Jack Sears,Boise State,2020,2022,4,3,3,35.1,11.7,NA
Kyle Allen,Houston,2017,2018,4,4,4,34.6,8.7,NA
J.W. Walsh,Oklahoma State,2014,2016,4,4,2,32.6,16.3,NA
Brandon Peters,Illinois,2017,2022,2,2,6,31.3,5.2,NA
Ty Thompson,Oregon,2023,2024,3,3,6,30.7,5.1,NA
Carson Beck,Georgia,2022,2024,3,3,6,30.7,5.1,NA
Ben Hicks,Arkansas,2019,2020,5,5,7,30.5,4.4,NA
Kendal Thompson,Utah,2015,2016,5,5,4,30.1,7.5,NA
Dylan McCaffrey,Northern Colorado,2018,2023,2,2,5,28.9,5.8,NA
Tommy DeVito,Illinois,2021,2023,5,4,3,28.5,9.5,NA
Harrison Bailey,Louisville,2020,2024,1,1,6,28.3,4.7,NA
Ty Simpson,Alabama,2023,2025,2,2,5,27.8,5.6,NA
Ethan Garbers,UCLA,2022,2024,3,3,5,27.8,5.6,NA
Kyron Drones,Virginia Tech,2022,2024,2,2,5,27.7,5.5,NA
Hunter Dekkers,Iowa State,2021,2024,2,2,4,25.8,6.5,NA
Luke Doty,South Carolina,2020,2024,1,1,6,25.1,4.2,NA
Drew Barker,Kentucky,2015,2018,2,2,5,25.1,5,NA
Harrison Bailey,Louisville,2022,2024,3,3,5,24.6,4.9,NA
Quincy Patterson II,Temple,2020,2024,3,3,3,24.4,8.1,NA
Jacolby Criswell,Arkansas,2021,2024,2,2,3,24,8,NA
Cade McNamara,Iowa,2023,2024,5,5,5,23.7,4.7,NA
