0,1,2,3,4
Zack Greenlee,Fresno StateUTEP,Undrafted,None,None
Christian Hackenberg,Penn State,2016 Rd. 2,New York JetsOakland RaidersPhiladelphia EaglesCincinnati Bengals,2013 Big Ten Thompson–Randle El Freshman of the Year
Kevin Olsen,Miami (FL)TowsonGarden City CCRiverside CityCharlotte[113],Undrafted,None,None
Johnny Stanton,NebraskaSaddlebackUNLV[114],Undrafted,Minnesota VikingsCleveland Browns,None
Asiantii Woulard,UCLASouth FloridaClarion (PA)[115],Undrafted,None,Elite 11 MVP
Malik Zaire,Notre DameFlorida[116],Undrafted,None,None
Kyle Allen,Texas A&MHouston,Undrafted,Carolina PanthersWashington RedskinsHouston Texans,2014 Liberty BowlMVP
Drew Barker,Kentucky,Undrafted,None,None
David Blough,Purdue,Undrafted,Cleveland BrownsDetroit Lions,None
K. J. Carta-Samuels,WashingtonColorado State,Undrafted,None,None
Will Grier,FloridaWest Virginia,2019 Rd. 3,Carolina PanthersDallas Cowboys,Second Team All-Big 12 (2018)
Jerrod Heard,Texas,Undrafted,None,None
Brad Kaaya,Miami (FL),2017 Rd. 6,Detroit LionsCarolina PanthersIndianapolis ColtsCincinnati Bengals,2014 ACC Freshman of the Year
Jacob Park,GeorgiaTrident TechNortheastern Oklahoma A&MIowa State[119],Undrafted,None,None
Luke Rubenzer,California,Undrafted,None,None
Deshaun Watson,Clemson,2017 Rd. 1,Houston TexansCleveland Browns,2015Heisman TrophyFinalist2016Heisman TrophyFinalist2015 Davey O'Brien National Quarterback Award2016 Davey O'Brien National Quarterback Award2015 Manning Award2016 Manning Award2015 ACC Player of the Year2016 Johnny Unitas Golden Arm AwardCFP national champion(2016)2017 College Football Playoff National Championship Offensive MVP
Sean White,Auburn,Undrafted,None,Elite 11 MVPUA All-America game MVP
Blake Barnett,AlabamaPalomarArizona StateSouth Florida,Undrafted,None,Elite 11 MVP
Deondre Francois,Florida StateHampton,Undrafted,None,ACC Rookie of the Year(2016)ACC Offensive Rookie of the Year(2016)
Ben Hicks,SMUArkansas,Undrafted,None,"SMU's career leader in passing yards (9,081 yards)SMU's career leader in passing touchdowns (71)"
Travis Jonsen,OregonRiverside CityMontana State,Undrafted,None,None
Drew Lock,Missouri,2019 Rd. 2,Denver BroncosSeattle Seahawks,SEC single season passing touchdown record (44) (2017)FBS passing touchdowns leader (2017)First-Team All-SEC (2017)Second-Team All-SEC (2018)
Kyler Murray,Texas A&MOklahoma[120],2019 Rd. 1,Arizona Cardinals,Gatorade Football Player of the Year(2014)USA TodayOffensive Player of the Year (2014)Heisman Trophy(2018)Davey O'Brien Award(2018)Associated Press Player of the Year(2018)Big 12 Offensive Player of the Year(2018)First-teamAll-American(2018)First-team All-Big 12(2018)Number One Overall Selection
Josh Rosen,UCLA,2018 Rd. 1,Arizona CardinalsMiami DolphinsTampa Bay BuccaneersSan Francisco 49ersAtlanta Falcons,Pac-12 Offensive Freshman of the Year(2015)Second-teamAll-Pac-12(2017)
Jarrett Stidham,BaylorMcLennan CCAuburn[121],2019 Rd. 4,New England Patriots,SEC Newcomer of the Year(2017)First-team All-SEC(2017)
Ricky Town,USCArkansasVenturaPittsburgh[122],Undrafted,None,None
Brady White,Arizona StateMemphis[123],Undrafted,None,None
Brandon Wimbush,Notre DameUCF,Undrafted,None,None
Shane Buechele,TexasSMU,Undrafted,Kansas City Chiefs,First-team All-AAC(2019)
K. J. Costello,StanfordMississippi State,Undrafted,Los Angeles Chargers,Second-team All-Pac-12(2018)
Jacob Eason,GeorgiaWashington[126],2020 Rd. 4,Indianapolis ColtsSeattle Seahawks,Gatorade Football Player of the Year(2015)USA TodayOffensive Player of the Year (2015)SEC Champion(2017)Rose Bowl Runner Up(2018)
Feleipe Franks,FloridaArkansas,Undrafted,Atlanta Falcons,2018 Peach Bowl Offensive MVP
Jarrett Guarantano,TennesseeWashington State,Undrafted,Arizona Cardinals,None
Dwayne Haskins,Ohio State,2019 Rd. 1,Washington Redskins / Football TeamPittsburgh Steelers,2018 Heisman Trophy Finalist2018 Rose Bowl MVPFirst team All-Big Ten (2018)Graham–George Offensive Player of the Year (2018)
Malik Henry,Florida StateIndependence CCNevada,Undrafted,None,None
Brandon McIlwain,South CarolinaCalifornia,Undrafted,None,None
Shea Patterson,Ole MissMichigan,Undrafted,Kansas City Chiefs,Elite 11 MVPThird-team All-Big Ten(2018)
Brandon Peters,MichiganIllinois,Undrafted,None,Indiana's Mr. Football(2015)
Anthony Russo,TempleMichigan State,Undrafted,None,None
Myles Brennan,LSU,Undrafted,None,2019 SEC Champion2020 National Champion
Sean Clifford,Penn State,2023 Rd. 5,Green Bay Packers,None
Tommy DeVito,SyracuseIllinois,Undrafted,New York Giants,None
Sam Ehlinger,Texas,2021 Rd. 6,Indianapolis Colts,2019 Sugar Bowl MVP2019 Alamo Bowl MVPSecond-team All-Big 12 Conference(2020)
Jake Fromm,Georgia,2020 Rd. 5,Buffalo BillsNew York GiantsWashington Commanders,SEC Champion(2017)SEC Freshman Player of the Year(2017)2018 Rose Bowl winner
Hunter Johnson,ClemsonNorthwesternClemson,Undrafted,None,2017 US Army All-American Bowl MVP2016 Indiana Mr. Football Award
Tate Martell,Ohio StateMiamiUNLV,Undrafted,None,"2× USA Today All-American (2014, 2016)Gatorade Football Player of the Year(2016)USA TodayOffensive Player of the Year (2016)2019 Rose Bowl ChampionCotton Bowl Classic Champion(2017)2×Big Ten Champion(2017), (2018)"
Dylan McCaffrey,MichiganNorthern Colorado,Undrafted,None,None
Davis Mills,Stanford,2021 Rd. 3,Houston Texans,None
Chris Robison,OklahomaFlorida Atlantic,Undrafted,None,First team All-Conference USA(2019)
Jack Sears,USCBoise State,Undrafted,None,None
Tua Tagovailoa,Alabama,2020 Rd. 1,Miami Dolphins,Elite 11 MVPHeisman trophyrunner-up (2018)CFP National Champion(2017)2018 CFP National Championship Offensive MVPMaxwell Award(2018)Walter Camp Award(2018)SEC Offensive Player of the Year(2018)First-Team All-SEC(2018)ConsensusAll-American(2018)2018 Orange BowlOffensive MVPSecond Team All-SEC(2019)
Gerry Bohanon,BaylorSouth Florida,In School,None,Davey O’Brien Award’s Quarterback Class of 2021
Cammon Cooper,Washington StateHawaiiSoutheastern Louisiana,In School,None,None
Matt Corral,Ole Miss,2022 Rd. 3,Carolina Panthers,2021 Outback Bowl(MVP)
Justin Fields,GeorgiaOhio State,2021 Rd. 1,Chicago Bears,"Elite 11 MVPSEC East Champion (2018)Heisman Trophy– Third Place  (2019)Big Ten Offensive Player of the Year(2019)Big Ten Quarterback of the Year(2019)First Team All Big Ten (2019,2020)Big Ten Champion (2019)Big Ten Championship MVP (2019)"
Trevor Lawrence,Clemson,2021 Rd. 1,Jacksonville Jaguars,"Hall Trophy(2017)USA Today Offensive Player of the Year(2017)ACC Rookie of the Year(2018)ACC Offensive Rookie of the Year(2018)2019 CFP National Champion(2019)Second team All-ACC (2018)2×ACC Champion(2018,2019)First team All-ACC (2019,2020)Number One Overall Selection"
Devin Leary,NC StateKentucky,In School,None,None
Tanner McKee,Stanford,2023 Rd. 6,Philadelphia Eagles,None
Quincy Patterson II,Virginia TechNorth Dakota StateTemple,In School,None,None
Justin Rogers,TCUUNLV,Undrafted,None,None
Tyler Shough,OregonTexas Tech,In School,None,2020 Rose Bowl Champion
Dorian Thompson-Robinson,UCLA,2023 Rd. 5,Cleveland Browns,"2x Second-team All-Pac-12 (2020, 2021)"
Jack Tuttle,UtahIndianaMichigan,In School,None,None
Jarren Williams,Miami (FL)South FloridaAlabama A&M,Undrafted,None,None
Zach Calzada,Texas A&MAuburnIncarnate Word,In School,None,None
Jayden Daniels,Arizona StateLSU,In School,None,2023 Heisman Trophy
Max Duggan,TCU,2023 Rd. 7,Los Angeles Chargers,Davey O'Brien Award(2022)Johnny Unitas Golden Arm Award(2022)Big 12Offensive Player of the Year (2022)Second-teamAll-American(2022)First-team All-Big 12 (2022)
Ty Evans,NC StateTexas State,In School,None,None
Grant Gunnell,ArizonaMemphisNorth TexasSam Houston,In School,None,USA Today All-American (2018)
Ryan Hilinski,South CarolinaNorthwestern,In School,None,None
Sam Howell,North Carolina,2022 Rd. 5,Washington Commanders,Second-team All-ACC (2020)Third-team All-ACC (2019)ACC Rookie of the Year (2019)USA Today Freshman All-American (2019)Military Bowl MVP (2019)
D'Wan Mathis,GeorgiaTemple,In School,None,None
Brian Maurer,TennesseeStephen F. Austin,In School,None,None
