Name,School,Draft,NFL Team,Awards,Year
John David Booty,USC,2008 Rd. 5,Minnesota VikingsTennessee TitansHouston Texans,"2001 ESPN RISE National High School Sophomore Player of the Year2006 All-Pac-10 First Team2008 Rose BowlOffensive MVP2x National Champion (2003, 2004)",2003
A.J. Bryant,Georgia,Undrafted,None,None,2003
Kirby Freeman,Miami (FL)Baylor,Undrafted,San Francisco 49ers[39],2006 MPC Computers BowlMVP,2003
Brian Hildebrand,Oregon StateMt. San AntonioNebraska[40]Humboldt State[41],Undrafted,None,None,2003
Cornelius Ingram,Florida,2009 Rd. 5(Drafted as TE),Philadelphia EaglesDetroit LionsDenver Broncos,"2x National Champion (2006, 2008)",2003
Nate Longshore,California,Undrafted,None,2006 Holiday BowlCo-Offensive MVP,2003
Anthony Morelli,Penn State,Undrafted,Arizona Cardinals,None,2003
Chase Patton,Missouri,Undrafted,None,None,2003
Bobby Reid,Oklahoma StateTexas Southern,Undrafted,None,None,2003
Matt Tuiasosopo,Washington,Undrafted,None,Elite 11 co-MVP,2003
Drew Weatherford,Florida State,Undrafted,None,None,2003
Harrison Beck,NebraskaNC StateNorth Alabama,Undrafted,None,None,2004
Jake Christensen,IowaEastern Illinois,Undrafted,None,None,2004
Joe Cox,Georgia,Undrafted,None,None,2004
Jonathan Crompton,Tennessee,2010 Rd. 5,San Diego ChargersNew England PatriotsTampa Bay BuccaneersWashington Redskins[43],None,2004
Chase Daniel,Missouri,Undrafted,Washington RedskinsNew Orleans SaintsKansas City ChiefsPhiladelphia Eagles[44]Chicago Bears[45]Detroit LionsLos Angeles Chargers,2007Heisman TrophyFinalist2007Big 12 Offensive Player of the Year,2004
Jonathan Garner,Georgia TechMarshall,Undrafted,None,None,2004
Arkelon Hall,Washington StateCollege of the SequoiasMemphis,Undrafted,None,None,2004
Ryan Perrilloux,LSUJacksonville State[46],Undrafted,New York Giants[46],2004Hall Trophy2004 USA Today National Offensive High School Player of the Year2007 National Champion,2004
Kyle Reed,CaliforniaSan Jose State,Undrafted,None,None,2004
Mark Sanchez,USC,2009 Rd. 1,New York JetsPhiladelphia EaglesDenver BroncosDallas CowboysChicago Bears[47]Washington Redskins,Elite 11 MVP2008 All-Pac-10 First Team2009 Rose BowlOffensive MVP,2004
Rob Schoenhoft,Ohio StateDelaware[48],Undrafted,None,None,2004
Willie Tuitama,Arizona,Undrafted,None,2008 Las Vegas BowlMVP,2004
Neil Caudle,Auburn,Undrafted,None,2010 National Champion,2005
